gbif_id,scientific_name,decimal_latitude,decimal_longitude,year,basis_of_record,country_code,coordinate_uncertainty_m
6188660741,"Panthera leo (Linnaeus, 1758)",-0.118111,30.070806,2026,HUMAN_OBSERVATION,UG,31451.0
6195249211,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.445272,35.322854,2026,HUMAN_OBSERVATION,KE,31446.0
6195277087,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.548744,35.319505,2026,HUMAN_OBSERVATION,KE,31446.0
6195351081,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-3.061672,35.439227,2026,HUMAN_OBSERVATION,TZ,31428.0
6195375522,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-3.231452,35.408575,2026,HUMAN_OBSERVATION,TZ,31425.0
6195389636,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-0.523585,36.19812,2026,HUMAN_OBSERVATION,KE,31451.0
6195394570,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-2.361708,34.550766,2026,HUMAN_OBSERVATION,TZ,32044.0
6195421834,"Panthera leo (Linnaeus, 1758)",-1.488247,35.346947,2026,HUMAN_OBSERVATION,KE,31446.0
6195458215,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.455821,35.350112,2026,HUMAN_OBSERVATION,KE,31446.0
6195518981,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.688657,35.361374,2026,HUMAN_OBSERVATION,KE,31444.0
6195527581,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.241915,31.653731,2026,HUMAN_OBSERVATION,ZA,30090.0
6195545462,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-2.626689,34.925257,2026,HUMAN_OBSERVATION,TZ,31434.0
6195564803,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-2.764894,34.864228,2026,HUMAN_OBSERVATION,TZ,31434.0
6195596698,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-2.917711,35.182738,2026,HUMAN_OBSERVATION,TZ,31431.0
6195615276,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.687339,35.236286,2026,HUMAN_OBSERVATION,KE,31444.0
6195651493,"Panthera leo (Linnaeus, 1758)",-1.453691,35.399121,2026,HUMAN_OBSERVATION,KE,31446.0
6195765849,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-2.220506,34.527044,2026,HUMAN_OBSERVATION,TZ,33732.0
